id,name,price,price_mayorista,category,description,image
"1778691216922oovh","Cable de Red x Metro",1000,0,"Cables","Importado masivamente","assets/products/prod_1778691216922oovh.jpg"
"17786912169218tkl","Cable de red 30.0",15000,0,"Cables","Importado masivamente","assets/products/prod_17786912169218tkl.jpg"
"CAb4354","Cable iphone 1Mt",6000,0,"Cables","","assets/products/prod_1780954084871.jpg"
"1778691273658z8ni","Cable optico 3.0mts",8000,0,"Cables","Importado masivamente","assets/products/prod_1778691273658z8ni.jpg"
"1778690911983phqg","Caddy Notebook",10500,0,"Accesorios","Importado masivamente","assets/products/prod_1778690911983phqg.jpg"
"1778690911983duq2","Caja Sata 2.5 2.0",13500,0,"Accesorios","Importado masivamente","assets/products/prod_1778690911983duq2.jpg"
"1778690911983gcco","Caja Sata 3.0",18000,0,"Accesorios","Importado masivamente","assets/products/prod_1778690911983gcco.jpg"
"1778691439673d234","Calculadora Cientifica",8000,0,"Calculadoras","Importado masivamente","assets/products/prod_1778691439673d234.jpg"
"1778691439676ka1s","Calculadora Gaona",9500,0,"Calculadoras","Importado masivamente","assets/products/prod_1778691439676ka1s.jpg"
"1778691439677apdb","Calculadora Kenko 1200",10000,0,"Calculadoras","Importado masivamente","assets/products/prod_1778691439677apdb.jpg"
"17786914396775i4h","Calculadora Kenko 837",7500,0,"Calculadoras","Importado masivamente","assets/products/prod_17786914396775i4h.jpg"
"1778691439675igzi","Calculadora con Pantalla Tactil",9500,0,"Calculadoras","Importado masivamente","assets/products/prod_1778691439675igzi.jpg"
"1778691439679eoft","Calculadora kk-402/kc-888",6000,0,"Calculadoras","Importado masivamente","assets/products/prod_1778691439679eoft.jpg"
"17786953629717ta2","Camara IP Domo Wifi HD",49000,0,"Seguridad","Importado masivamente","assets/products/prod_17786953629717ta2.jpg"
"1778695362974hjwn","Camara Ip Externa",59000,0,"Seguridad","Importado masivamente","assets/products/prod_1778695362974hjwn.jpg"
"1778695362975oire","Camara Ip Interna",30000,0,"Seguridad","Importado masivamente","assets/products/prod_1778695362975oire.jpg"
"17786909119839rns","Candado Notebook",12000,0,"Accesorios","Importado masivamente","assets/products/prod_17786909119839rns.jpg"
"17792819220004511","Capturadora HDMI",15000,0,"Accesorios","","assets/products/prod_17792819220004511.jpg"
"178006658576340on","CarPlay Android",39000,0,"Accesorios","","assets/products/prod_178006658576340on.webp"
"1778691474669x94v","Cargador 2.1 Kosmo/Time",6000,0,"Cargadores","Importado masivamente","assets/products/prod_1778691474669x94v.jpg"
"1778691474669eer3","Cargador Acer Pin Amarillo",40000,0,"Cargadores","Importado masivamente","assets/products/prod_1778691474669eer3.jpg"
"17786914746706nvv","Cargador Auto Samsung",8000,0,"Cargadores","Importado masivamente","assets/products/prod_17786914746706nvv.jpg"
"17786914746721zzf","Cargador Base de Carga 10 usb",25000,0,"Cargadores","Importado masivamente","assets/products/prod_17786914746721zzf.jpg"
"1778691474672joxe","Cargador Dell Pin Fino",40000,0,"Cargadores","Importado masivamente","assets/products/prod_1778691474672joxe.jpg"
"1778691474673qfow","Cargador HP Pin Fino",40000,0,"Cargadores","Importado masivamente","assets/products/prod_1778691474673qfow.jpg"
"1778691474674rc5w","Cargador HP Pin Grueso",40000,0,"Cargadores","Importado masivamente","assets/products/prod_1778691474674rc5w.jpg"
"17792836160029721","Cargador Inalambrico Iphone",19500,0,"Cargadores","","assets/products/prod_17792836160029721.jpg"
"1778691474674u8c7","Cargador Iphone 2 in 1",16000,0,"Cargadores","Importado masivamente","assets/products/prod_1778691474674u8c7.jpg"
"1778691553453h87h","Cargador Motorola 125W",27500,0,"Cargadores","Importado masivamente","assets/products/prod_1778691553453h87h.jpg"
"1778690911983pu0w","Cargador Motorola 168W",29500,0,"Cargadores","Importado masivamente","assets/products/prod_1778690911983pu0w.jpg"
"1778690911983f89h","Cargador Motorola 68w",17500,0,"Cargadores","Importado masivamente","assets/products/prod_1778690911983f89h.jpg"
"1778691474675w7us","Cargador Motorola Turbo Original 3.1",12000,0,"Cargadores","Importado masivamente","assets/products/prod_1778691474675w7us.jpg"
"1778691474676iund","Cargador Motorola Ultra Rapido 50W",14500,0,"Cargadores","Importado masivamente","assets/products/prod_1778691474676iund.jpg"
"1778691474677uunz","Cargador Noga Inalambrico Celular 10W",16000,0,"Cargadores","Importado masivamente","assets/products/prod_1778691474677uunz.jpg"
"1778691474678hz92","Cargador Notebook Samsung Pin",40000,0,"Cargadores","Importado masivamente","assets/products/prod_1778691474678hz92.jpg"
"17786914746799bt0","Cargador Pilas Dinax",7500,0,"Cargadores","Importado masivamente","assets/products/prod_17786914746799bt0.jpg"
"1778691474680gs9l","Cargador Pilas Noga NG516",9500,0,"Cargadores","Importado masivamente","assets/products/prod_1778691474680gs9l.jpg"
"17786914746802lcr","Cargador RoyalCell 2.4 Tipo C",6000,0,"Cargadores","Importado masivamente","assets/products/prod_17786914746802lcr.jpg"
"1779283417521v44z","Cargador Samsung 45W",12000,0,"Cargadores","","assets/products/prod_1779283417521v44z.jpg"
"17786914746810y25","Cargador Samsung 65W",17500,0,"Cargadores","Importado masivamente","assets/products/prod_17786914746810y25.jpg"
"1778691474682s90e","Cargador Universal Bateria Led",5000,0,"Cargadores","Importado masivamente","assets/products/prod_1778691474682s90e.jpg"
"1778691513007p1at","Cargador Universal Notebook",19500,0,"Cargadores","Importado masivamente","assets/products/prod_1778691513007p1at.jpg"
"1778691553455h4jw","Cartucho 21 Gneiss",33000,0,"Cartuchos","Importado masivamente","assets/products/prod_1778691553455h4jw.jpg"
"17786915534569en2","Cartucho 22 Gneiss",36000,0,"Cartuchos","Importado masivamente","assets/products/prod_17786915534569en2.jpg"
"1778690911984r0o1","Cartucho 60 Gneiss Color",40000,0,"Cartuchos","Importado masivamente","assets/products/prod_1778690911984r0o1.webp"
"1778691553457diaa","Cartucho 60 Gneiss Negro",40000,0,"Cartuchos","Importado masivamente","assets/products/prod_1778691553457diaa.jpg"
